정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293064068,가재마을7단지,36.5051417,127.2489733,2,0.433706196,0.545592945,0.0207008587,6376,88689,32.9,32.6,0.455927052,0,18,332,107725,107725,0.7291858347018568
293062014,정부세종청사북측,36.5050692,127.2615051,4,0.516637577,0.414341093,0.0690213301,414,107847,36.1,323.8,0.692520776,1,23,137,370697,144932,0.7228921519951874
293062011,정부세종청사북측,36.504176,127.2611617,5,0.463306867,0.495281563,0.0414115701,193,107847,24.6,341.5,1.016260163,1,21,32,343334,134233,0.7038263259684406
293064005,첫마을6단지,36.47542,127.25308,6,0.571775646,0.342845655,0.0853786995,3896,61979,20.1,122.7,0.995024876,0,7,35,176578,176578,0.7024162837129891
293064151,가재마을11단지,36.5043789,127.2501706,1,0.29449333,0.688362191,0.0171444791,5537,88689,19.2,102.0,1.041666667,0,21,354,35230,35230,0.6918135536193141
293064054,"범지기마을8,12단지",36.5125038,127.2504125,2,0.498241309,0.482781186,0.0189775051,3462,151477,29.5,48.1,0.847457627,0,18,252,85575,85575,0.6848600307671211
293064215,소담동(새샘마을),36.4823772,127.2977039,3,0.370788386,0.384403365,0.24480825,5894,9302,40.8,139.8,0.612745098,0,19,139,126258,126258,0.679690506075758
293064030,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854,2,0.626779595,0.363079152,0.0101412532,5501,88689,12.4,378.2,2.016129032,0,9,44,35893,35893,0.6795476334427211
293064262,"가온마을6,9단지",36.498607,127.24896,5,0.510963202,0.429079236,0.0599575618,5572,40431,18.0,179.5,1.111111111,0,11,78,110278,110278,0.6317419524318433
293054003,다정동,36.4939251,127.2563976,4,0.590514918,0.381425695,0.0280593874,3030,83219,29.5,267.2,0.847457627,1,18,308,231901,90666,0.6274726230110123
293064114,"가락마을17,18단지",36.5195051,127.2347603,3,0.566126028,0.415689882,0.0181840898,1668,195759,21.2,47.7,1.179245283,0,10,223,88044,88044,0.6042880853316028
293061005,"범지기마을6,11단지",36.51045,127.2498,2,0.790642258,0.18411691,0.0252408326,3712,151477,29.8,62.6,0.67114094,0,16,261,88547,88547,0.5973382340519179
293062006,정부세종청사남측,36.5008869,127.2596196,5,0.443960132,0.495191841,0.0608480271,18,107847,25.8,289.3,0.968992248,1,17,109,319353,124857,0.5831651776334924
293064113,"가락마을17,18단지",36.5197921,127.2346313,3,0.519995838,0.453921127,0.0260830356,1660,195759,20.9,85.1,1.196172249,0,9,223,86493,86493,0.5819458056258245
293064027,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959,2,0.573651169,0.409789828,0.0165590028,5874,88689,13.7,406.4,1.824817518,0,10,44,21982,21982,0.5810481826439997
293064150,대법원등기정보센터,36.5118935,127.2423344,2,0.75905697,0.178623082,0.0623199483,2643,151477,25.5,94.2,0.980392157,0,11,304,85045,85045,0.5655395987694989
293064307,"가온마을6,9단지",36.4986116,127.2491786,5,0.432598067,0.54269831,0.0247036235,5390,40431,16.1,190.8,1.242236025,0,10,78,89582,89582,0.5647205295487586
293064524,"나릿재마을4,6단지",36.491527,127.261263,2,0.305619553,0.673845537,0.0205349093,2077,83219,15.4,165.5,1.623376623,0,12,588,9983,9983,0.553497025830313
293064029,고운중학교,36.5060786,127.2377584,2,0.703036145,0.276208835,0.0207550201,4053,195759,17.2,77.9,1.453488372,0,9,169,31125,31125,0.5447033029820758
293064006,첫마을6단지,36.47503,127.25326,6,0.434189259,0.513384,0.0524267414,3404,61979,20.9,123.6,0.956937799,0,5,34,157763,157763,0.5346950801449674
293064099,"범지기3,9단지(청소년센터)",36.518782,127.2444672,4,0.602441596,0.346382219,0.0511761843,4493,151477,15.4,64.6,1.623376623,1,7,8,123280,48198,0.5340794612622111
293064124,고운동커뮤니티센터남측,36.5043276,127.2347772,3,0.602636775,0.359879196,0.0374840283,2461,195759,15.2,86.3,0.986842105,0,9,219,86090,86090,0.5324301220742634
293053011,한솔동,36.48034,127.26243,5,0.443172018,0.504147312,0.0526806699,2462,83219,40.7,248.1,0.614250614,1,17,266,270175,105630,0.5237973742839929
293064214,소담동 새샘마을,36.4824576,127.2972683,4,0.534020443,0.429315975,0.0366635821,4830,9302,33.6,136.4,0.744047619,1,21,194,188034,73515,0.5217734742235851
293064166,"호려울마을8,9단지",36.4796473,127.2960085,2,0.80972973,0.177615262,0.0126550079,4564,30530,14.2,82.5,1.76056338,0,13,41,31450,31450,0.5213589952109345
293062004,다정동,36.49491,127.25649,3,0.461119704,0.519249083,0.0196312134,2789,83219,43.2,590.7,0.578703704,1,13,231,329730,128915,0.5210038331124891
