정류장ID,정류장명,위도,경도
293012025,부강9리,36.51915,127.36818
293012026,한화사원아파트,36.52627,127.36823
293012027,한화사원아파트,36.52607,127.36838
293012028,부강9리,36.51895,127.36841
293012029,금호리,36.49383,127.36967
293012032,부강삼거리,36.52792,127.372
293012033,부강삼거리,36.52776,127.37218
293012036,행산리,36.55633,127.37314
293012037,행산리(미건산업입구),36.5575,127.37354
293012038,부강면생활체육관,36.52758,127.37381
293012039,문곡1리,36.52709,127.37805
293012040,문곡1리,36.52727,127.37843
293012041,등곡3리(충광농원),36.51333,127.38231
293012042,등곡3리(충광농원),36.51325,127.3826
293012043,세종미래고등학교,36.52808,127.3833
293012044,세종미래고등학교,36.52812,127.38392
293012045,등곡리,36.50773,127.38487
293012046,등곡리,36.50735,127.38499
293012047,문곡3리,36.52847,127.38761
293012048,문곡3리,36.52858,127.38782
293012049,매포역(노호2리),36.49753,127.39272
293012050,매포역(노호2리),36.49737,127.39305
293012051,문곡2리,36.52978,127.39637
293012052,문곡2리,36.52966,127.39645
293012053,노호1리,36.49517,127.39858
293012054,노호1리,36.495,127.39872
293012055,등곡2리,36.49376,127.40229
293012056,등곡2리,36.49386,127.40245
293012057,산수리,36.55633667,127.3581367
293012058,행산리입구,36.560275,127.3725783
293013002,운당2리,36.7057756,127.1489661
293013003,운당2리,36.7058276,127.1497944
293013006,운당1리,36.69865,127.15205
293013007,운당1리,36.6979,127.15261
293013008,KCC앞,36.70867,127.15287
293013009,소정리입구,36.71191,127.15392
293013011,소정면우체국,36.71422,127.15471
293013012,소정면우체국,36.7143,127.15486
293013013,소정리역,36.71895,127.1566
293013014,소정리역,36.71885,127.1567
293013015,소정면사무소,36.72173,127.15762
293013016,소정면사무소,36.72149,127.15766
293013017,소정리입구,36.712119,127.153895
293013018,소정리,36.72478,127.15813
293013019,대곡1리,36.72607,127.15941
293013020,대곡4리,36.72556,127.15982
293013021,소정육교(맹골),36.72646,127.16173
293013023,소정육교,36.72718,127.16312
293013024,대곡리,36.7296,127.16673
293013025,고등2리,36.70594,127.18845
293013026,고등1리마을회관,36.71543,127.19507
293013027,고등1리마을회관,36.71551,127.19521
293014001,수산리,36.5408579,127.2307892
293014002,수산리(방아다리),36.54436,127.23691
293014003,수산리(방아다리),36.54452,127.23693
293014004,눌왕2리,36.54384,127.24391
293014005,눌왕2리,36.54346,127.24441
293014006,눌왕2리마을회관,36.5442,127.24662
293014007,눌왕2리마을회관,36.54452,127.24683
293014008,눌왕2리(푸른농원),36.54602,127.24922
293014009,눌왕2리(푸른농원),36.54592,127.24938
293014010,수왕초등학교,36.54498,127.25486
293014011,수왕초등학교,36.54508,127.25503
293014012,눌왕1리(도덕농장),36.54496,127.25815
293014013,눌왕1리(도덕농장),36.54482,127.25815
293014014,해밀동,36.528653,127.2638902
293014015,해밀동,36.5285405,127.2639687
293014016,해밀동,36.5296733,127.2646746
293014017,해밀동,36.52963,127.26478
293014018,연기산업단지,36.54369,127.26673
293014019,연기산업단지,36.54374,127.26691
293014021,연기면사무소,36.5423,127.27405
293014022,연기면사무소,36.5415,127.27434
293014023,연기면사무소,36.54241,127.2744
293014024,한별동,36.5340119,127.275216
293014025,한별동,36.53377,127.27527
293014026,한별동,36.5341,127.27661
293014027,한별동,36.5338388,127.2766576
293014028,연기리,36.54431,127.27681
293014030,연기리,36.54482,127.27714
