LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130310100,4130172100,4130172900,1,104,0,-,부강외천로,0,0,0,60,0,0,0,0,536.9305412,20230519,,,,39.6,22.4
4130308200,4130038600,4130041100,1,106,0,691,평기길,0,0,0,40,0,0,0,0,1062.233958,20230519,,,,46,89.5
4130310600,4130172000,4130172100,1,104,0,-,문곡자창이길,0,0,0,40,0,0,0,0,31.64465062,20230519,,,,40.4,10.4
4130327700,4130058700,4130058100,1,104,0,-,조뱅이길,0,0,0,40,0,0,0,0,70.08141684,20230519,,,,67.4,14.4
4130327300,4130158800,4130159800,1,104,0,-,-,0,0,0,40,0,0,0,0,151.8755273,20230519,도로명없음,,,26.2,7.2
4130312700,4130172800,4130172600,1,104,0,-,문곡구절골길,0,0,0,30,0,0,0,0,1544.934596,20230519,,,,37.7,14.3
4130316200,4130152700,4130153300,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,198.9529192,20230519,,,,69.6,88.9
4130314900,4130163700,4130163800,1,104,0,-,태산로,0,0,0,60,0,0,0,0,498.5855922,20230519,,,,38,33.1
4130315500,4130126100,4130119400,2,104,0,-,월산공단로,0,0,0,60,0,0,0,0,494.7040016,20230519,,,,74.8,12
4130314700,4130173200,4130173300,1,104,0,-,문곡대국터길,0,0,0,50,0,0,0,0,106.7560191,20230519,,,,55.5,14.5
4130314800,4130173300,4130173200,1,104,0,-,문곡대국터길,0,0,0,50,0,0,0,0,121.4465641,20230519,,,,52.7,16.7
4130375800,4130146700,4130137400,1,104,0,-,충현로,0,0,0,40,0,0,0,0,821.3378369,20230519,,,,34.4,210.4
4130313400,4130064600,4130060300,1,104,0,-,정안세종로,0,0,0,40,0,0,0,0,734.9344528,20230519,,,,53,11.7
4130316100,4130153300,4130152700,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,198.9956354,20230519,,,,71.8,99.8
4130315200,4130168000,4130168500,1,104,0,-,부촌길,0,0,0,50,0,0,0,0,200.9526689,20230519,,,,19.9,27.4
4130323400,4130038600,4130038100,1,106,0,627,용연로,0,1,0,60,0,0,0,0,29.33796342,20230519,,,,33,44.3
4130331700,4130161800,4130162000,3,105,0,96,연청로,0,0,0,70,0,0,0,0,205.8339816,20230519,,,,89.4,142.1
4130320100,4130135500,4130145800,2,104,3,-,한누리대로,0,0,0,50,0,0,0,0,662.9814223,20230519,,,,69,454.2
4130320200,4130145800,4130135500,2,104,3,-,한누리대로,0,0,0,50,0,0,0,0,662.5748581,20230519,,,,41,337.9
4130320800,4130135500,4130124200,2,104,0,-,한누리대로,0,0,0,50,0,0,0,0,705.493989,20230519,,,,60.5,173.7
4130320300,4130100400,4130103200,2,104,0,-,세종1로,0,0,0,60,0,0,0,0,371.5756759,20230519,,,,63.1,0.1
4130320500,4130084600,4130090100,3,103,4,1,세종로,0,1,0,70,0,0,0,0,310.7626262,20230519,,,,94.7,159.4
4130330400,4130160300,4130158800,2,104,0,-,명학산단남로,0,0,0,50,0,0,0,0,276.4434771,20230519,,,,22.7,40.2
4130321400,4130163200,4130163800,1,106,0,591,청연로,0,0,0,60,0,0,0,0,363.0048248,20230519,,,,43.7,51.7
4130331900,4130053600,4130053200,2,103,3,43,정안세종로,0,0,0,80,0,0,0,0,164.1230009,20230519,,,,83.7,25.1
4130324300,4130168800,4130168400,2,104,0,-,부강행산로,0,0,0,40,0,0,0,0,159.530653,20230519,,,,33.6,9.7
4130321900,4130165000,4130165300,1,106,0,507,갈산산수로,0,0,0,60,0,0,0,0,165.8683001,20230519,,,,46.8,9.9
