정류장ID,정류장명,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,승차,하차,환승,위도,경도
293064092,가락초등학교,0,0,0,0,7,3470,5862,194,36.5156976,127.233616
293064068,가재마을7단지,0,0,0,0,18,46721,58774,2230,36.5051417,127.2489733
293064091,가락초등학교,0,0,0,0,7,7552,5415,148,36.5156123,127.2337503
293064065,문화체육관광부(남측),0,0,0,0,14,4598,3853,245,36.4960299,127.2657345
293064090,고운고등학교,0,0,0,0,6,16400,6911,206,36.5089377,127.2342422
293064064,국립세종도서관,0,0,1,0,10,10568,11147,565,36.5001938,127.2674639
293064089,고운고등학교,0,0,0,0,5,9932,14700,114,36.509267,127.2343639
293064106,가락마을14단지,0,0,0,0,7,15293,11312,494,36.51301,127.2331115
293064061,"종촌고(가재마을3,4단지)",0,0,0,0,8,61508,24392,834,36.5050718,127.2436524
293064102,범지기마을10단지북측,0,0,0,0,6,35009,53029,5409,36.5190968,127.2483697
293064060,가락마을8단지,0,0,0,0,10,16173,12570,162,36.5089327,127.2405854
293064101,범지기마을10단지북측,0,0,0,0,7,55792,30473,3572,36.5189898,127.2489006
293064077,국책연구단지북측,0,0,1,0,10,21731,36581,3247,36.4955579,127.3033473
293064100,"범지기3,9단지(청소년센터)",0,0,0,0,6,38815,45682,8882,36.5189667,127.2449384
293064099,"범지기3,9단지(청소년센터)",0,0,0,0,7,74269,42702,6309,36.518782,127.2444672
293064098,가락마을22단지,0,0,0,0,7,30510,54740,18031,36.5201811,127.2411119
293064097,가락마을22단지,0,0,0,0,7,53613,26088,20295,36.5200447,127.2405762
293064073,"도램마을14,15단지",0,0,0,0,6,3445,2822,71,36.5108082,127.2669854
293064096,"두루초,중학교",0,0,0,0,10,24522,19071,1742,36.5187165,127.2391789
293064116,두루고등학교,0,0,0,0,8,12177,6541,312,36.5172342,127.2313602
293064071,가재마을12단지,0,0,0,0,13,26657,5262,720,36.5073176,127.2505017
293064115,두루고등학교,0,0,0,0,8,3742,14130,345,36.5173734,127.2311308
293064070,가락마을8단지,0,0,0,0,9,11845,16170,139,36.5087662,127.2407144
293064114,"가락마을17,18단지",0,0,0,0,10,49844,36599,1601,36.5195051,127.2347603
293064113,"가락마을17,18단지",0,0,0,0,9,44976,39261,2256,36.5197921,127.2346313
293064110,"도램마을8,10단지",0,0,2,0,16,57649,65278,3399,36.5121473,127.2599592
293064109,"도램마을8,10단지",0,0,2,0,17,59411,49277,3767,36.5119283,127.2595385
293064108,도램마을20단지,0,0,0,0,8,3117,1240,64,36.5174087,127.2649161
293064107,가락마을14단지,0,0,0,0,6,12421,12602,453,36.5129521,127.2334076
293064124,고운동커뮤니티센터남측,0,0,0,0,9,51881,30982,3227,36.5043276,127.2347772
293064123,고운동커뮤니티센터남측,0,0,0,0,10,45082,36625,3183,36.5042791,127.2352687
293064122,으뜸초등학교,0,0,0,0,4,1388,11596,123,36.5070383,127.231468
293064121,으뜸초등학교,0,0,0,0,4,2611,3025,136,36.5071605,127.2317021
293064120,"가락마을9,11단지",0,0,0,0,4,35168,16384,680,36.5105636,127.2296299
293064119,"가락마을9,11단지",0,0,0,0,5,27552,31961,872,36.5106813,127.229892
293064118,"가락마을10,13단지",0,0,0,0,6,56744,30828,1096,36.513498,127.2296588
293064117,"가락마을10,13단지",0,0,0,0,6,51985,42896,1217,36.5134794,127.2293797
293064140,고운동커뮤니티센터북측,0,0,0,0,7,18241,7230,678,36.5200871,127.2377731
293064139,"가재마을5,8단지",0,0,0,1,19,103554,39099,9003,36.5009207,127.2497831
293064125,가재마을7단지,0,0,0,0,19,58229,35269,1992,36.5049528,127.248745
293064148,범지기마을1단지,0,0,0,0,12,1944,12288,76,36.5089857,127.242171
293064147,세종시보건소(대동초),0,0,0,1,1,2539,10684,138,36.5955851,127.2953796
293064146,세종시보건소(대동초),0,0,0,2,2,11499,2829,286,36.5955999,127.2935516
293064145,다빛초등학교(가온마을3단지),0,0,0,0,8,25227,10908,959,36.4995152,127.2425474
293064144,다빛초등학교(가재마을1단지),0,0,0,0,8,11334,16599,1034,36.4997313,127.2424127
293064142,대법원등기정보센터,0,0,0,0,11,14770,51333,1418,36.5121017,127.2423505
293064141,고운동커뮤니티센터북측,0,0,0,0,7,6133,22405,424,36.5203767,127.2376669
293064158,"가락마을7,8단지",0,0,0,0,11,38343,64018,1934,36.5055858,127.2395189
