대여소 번호,대여소 아이디,대여소 이름,사용유무,주소(구),주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
108,SJ_00108,고운동_가락1302동앞,Y,세종,고운동,세종특별자치시 고운동 1401,127.229697,36.513094,1,50,2018-08-06 16:19,2020-12-10 10:24
109,SJ_00109,고운동_가락1307동앞,Y,세종,고운동,세종특별자치시 고운동 1401,127.229857,36.51448,1,25,2018-08-06 16:25,2021-09-09 14:31
110,SJ_00110,고운동_가락1004동앞,Y,세종,고운동,세종특별자치시 고운동 1400,127.229409,36.514352,1,20,2018-08-06 16:27,2020-12-10 10:24
111,SJ_00111,고운동_고운고등학교 건너편,Y,세종,고운동,세종특별자치시 고운동 2058,127.234014,36.510417,1,30,2018-08-06 16:29,2020-12-10 10:24
112,SJ_00112,고운동_고운고등학교앞 로터리,Y,세종,고운동,세종특별자치시 고운동 1412,127.233675,36.510748,1,20,2018-08-06 16:32,2021-12-27 19:25
113,SJ_00113,고운동_고운동성당 건너편,Y,세종,고운동,세종특별자치시 고운동 1403,127.233017,36.513226,1,30,2018-08-06 16:33,2022-03-28 16:26
114,SJ_00114,고운동_고운동(마음안로)2,Y,세종,고운동,세종특별자치시 고운동 1355,127.23313,36.515171,1,30,2018-08-06 16:38,2020-12-10 10:24
115,SJ_00115,고운동_가락611동 건너편,Y,세종,고운동,세종특별자치시 고운동 1733,127.237042,36.502942,1,25,2018-08-06 16:40,2021-05-14 7:47
116,SJ_00116,고운동_고운동(마음로),Y,세종,고운동,세종특별자치시 고운동 2057,127.230874,36.516825,1,30,2018-08-06 16:41,2020-12-10 10:24
117,SJ_00117,고운동_ 침례교회앞,Y,세종,고운동,세종특별자치시 고운동 2057,127.231787,36.517593,1,30,2018-08-06 16:42,2020-12-15 14:05
118,SJ_00118,고운동_고운빌딩앞,Y,세종,고운동,세종특별자치시 고운동 1152,127.232672,36.518381,1,30,2018-08-06 16:44,2020-12-10 10:24
119,SJ_00119,고운동_고운빌딩 건너편,Y,세종,고운동,세종특별자치시 고운동 2057,127.232677,36.518663,1,30,2018-08-06 16:46,2020-12-10 10:24
120,SJ_00120,고운동_한빛교회 건너편,Y,세종,고운동,세종특별자치시 고운동 2058,127.234859,36.516338,1,30,2018-08-06 16:48,2020-12-10 10:24
121,SJ_00121,고운동_복합커뮤니티센터,Y,세종,고운동,세종특별자치시 고운동 1382,127.23724,36.520021,1,30,2018-08-06 17:02,2020-12-10 10:24
122,SJ_00122,고운동_가락1809동앞,Y,세종,고운동,세종특별자치시 고운동 2057,127.237027,36.520219,1,30,2018-08-06 17:11,2020-12-10 10:24
123,SJ_00123,한솔동_첫마을402동 건너편,Y,세종,한솔동,세종특별자치시 한솔동 963,127.251731,36.479975,2,30,2019-07-04 14:47,2020-12-10 10:24
124,SJ_00124,고운동_가락1506동앞,Y,세종,고운동,세종특별자치시 고운동 1393,127.237564,36.517281,1,25,2018-08-06 17:17,2021-11-23 18:09
125,SJ_00125,고운동_두루중학교,Y,세종,고운동,세종특별자치시 고운동 1385,127.239164,36.518155,1,30,2018-08-06 17:18,2020-12-10 10:24
126,SJ_00126,고운동_가락2105동앞,Y,세종,고운동,세종특별자치시 고운동 1390,127.241418,36.517565,1,25,2018-08-06 17:20,2021-10-26 15:54
127,SJ_00127,고운동_가락마을2003동 앞,N,세종,고운동,세종특별자치시 고운동 1396,127.241019,36.517241,1,30,2018-08-06 17:21,2021-12-27 17:33
128,SJ_00128,고운동_가락1606동앞,Y,세종,고운동,세종특별자치시 고운동 1395,127.239155,36.516902,1,30,2018-08-06 17:22,2020-12-10 10:24
129,SJ_00129,고운동_가락1604동앞,Y,세종,고운동,세종특별자치시 고운동 1395,127.239129,36.51541,1,35,2018-08-06 17:22,2020-12-10 10:24
130,SJ_00130,고운동_가락810동건너편,Y,세종,고운동,세종특별자치시 고운동 2058,127.239969,36.508943,1,30,2018-08-06 17:23,2020-12-10 10:24
131,SJ_00131,고운동_가락810동앞,Y,세종,고운동,세종특별자치시 고운동 1706,127.240092,36.508769,1,30,2018-08-06 17:24,2020-12-10 10:24
132,SJ_00132,고운동_한옥마을건너편1,Y,세종,고운동,세종특별자치시 고운동,127.239786,36.510795,1,30,2018-08-06 17:26,2020-12-10 10:24
133,SJ_00133,고운동_한옥마을건너편2,Y,세종,고운동,세종특별자치시 고운동,127.239665,36.510333,1,30,2018-08-06 17:27,2020-12-10 10:24
134,SJ_00134,고운동_한옥마을앞,Y,세종,고운동,세종특별자치시 고운동,127.2394,36.510443,1,30,2018-08-06 17:27,2020-12-10 10:24
135,SJ_00135,종촌동_가재102동앞,Y,세종,종촌동,세종특별자치시 종촌동 686,127.243793,36.501713,1,30,2018-08-06 20:39,2022-01-20 14:04
136,SJ_00136,종촌동_가재303동앞,Y,세종,종촌동,세종특별자치시 종촌동 679,127.241406,36.503886,1,30,2018-08-06 20:40,2020-12-10 10:24
137,SJ_00137,종촌동_가재310동앞,Y,세종,종촌동,세종특별자치시 종촌동 679,127.243896,36.505023,1,25,2018-08-06 20:41,2022-03-16 21:03
138,SJ_00138,종촌동_가재403동앞,Y,세종,종촌동,세종특별자치시 종촌동 640,127.244961,36.505519,1,35,2018-08-06 20:42,2020-12-10 10:24
139,SJ_00139,종촌동_가재502동앞,Y,세종,종촌동,세종특별자치시 종촌동 710,127.246239,36.499491,1,30,2018-08-06 20:43,2020-12-10 10:24
140,SJ_00140,다정동_가온605동앞 공원,Y,세종,다정동,세종특별자치시 다정동 57-1,127.247137,36.499098,2,30,2018-08-06 20:44,2021-04-28 17:46
141,SJ_00141,종촌동_종촌중학교,Y,세종,종촌동,세종특별자치시 종촌동 675,127.246085,36.50206,1,35,2018-08-06 20:46,2020-12-10 10:24
142,SJ_00142,종촌동_CGV앞,Y,세종,종촌동,세종특별자치시 종촌동 674,127.247207,36.502186,1,30,2018-08-06 20:52,2020-12-10 10:24
143,SJ_00143,종촌동_가재523동앞,Y,세종,종촌동,세종특별자치시 종촌동 690,127.248263,36.50198,1,30,2018-08-06 20:52,2021-08-02 16:05
144,SJ_00144,종촌동_소망교회앞,Y,세종,종촌동,세종특별자치시 종촌동 671,127.24873,36.502239,1,30,2018-08-06 20:53,2021-12-27 14:51
145,SJ_00145,종촌동_가재801동앞,Y,세종,종촌동,세종특별자치시 종촌동 692,127.250042,36.500706,1,25,2018-08-06 20:54,2021-10-08 16:41
146,SJ_00146,종촌동_공영주차장앞,Y,세종,종촌동,세종특별자치시 종촌동 665,127.249992,36.503494,1,15,2018-08-06 20:55,2022-01-20 12:58
147,SJ_00147,종촌동_가재1103동건너편1,Y,세종,종촌동,세종특별자치시 종촌동 659,127.24989,36.504114,1,25,2018-08-06 20:56,2020-12-10 10:24
148,SJ_00148,종촌동_가재1103동건너편2,Y,세종,종촌동,세종특별자치시 종촌동 659,127.249841,36.504353,1,30,2018-08-06 20:57,2020-12-10 10:24
149,SJ_00149,종촌동_가재704동앞,Y,세종,종촌동,세종특별자치시 종촌동 701,127.24962,36.506615,1,40,2018-08-06 20:58,2020-12-10 10:24
